Unnamed: 0,Num_episode,Title,Type,Year_launch,Rate,Votes,Saga,Airdate,Year,Month,Popularity_Score,Type_Encoded,Saga_Encoded
1,1,Homecoming,Mixed Canon/Filler,2007,8.2,728,s1 Kazekage Rescue,2007-02-15,2007,2,5969.599999999999,2,0
2,2,The Akatsuki Makes Its Move,Mixed Canon/Filler,2007,8.0,575,s1 Kazekage Rescue,2007-02-15,2007,2,4600.0,2,0
3,3,The Results of Training,Mixed Canon/Filler,2007,8.0,508,s1 Kazekage Rescue,2007-02-22,2007,2,4064.0,2,0
4,4,The Jinchuriki of the Sand,Mixed Canon/Filler,2007,8.2,517,s1 Kazekage Rescue,2007-03-01,2007,3,4239.4,2,0
5,5,The Kazekage Stands Tall,Mixed Canon/Filler,2007,8.2,486,s1 Kazekage Rescue,2007-03-15,2007,3,3985.2,2,0
6,6,Mission Cleared,Mixed Canon/Filler,2007,8.2,480,s1 Kazekage Rescue,2007-03-29,2007,3,3935.9999999999995,2,0
7,7,"Run, Kankuro",Mixed Canon/Filler,2007,7.8,457,s1 Kazekage Rescue,2007-03-29,2007,3,3564.6,2,0
8,8,"Team Kakashi, Deployed",Mixed Canon/Filler,2007,7.7,437,s1 Kazekage Rescue,2007-04-12,2007,4,3364.9,2,0
9,9,The Jinchuriki's Tears,Mixed Canon/Filler,2007,7.6,434,s1 Kazekage Rescue,2007-04-12,2007,4,3298.3999999999996,2,0
10,10,Sealing Jutsu: Nine Phantom Dragons,Mixed Canon/Filler,2007,7.5,424,s1 Kazekage Rescue,2007-04-19,2007,4,3180.0,2,0
11,11,The Medical Ninja's Student,Mixed Canon/Filler,2007,7.7,425,s1 Kazekage Rescue,2007-04-26,2007,4,3272.5,2,0
12,12,The Retired Granny's Determination,Mixed Canon/Filler,2007,7.9,425,s1 Kazekage Rescue,2007-05-03,2007,5,3357.5,2,0
13,13,A Meeting With Destiny,Mixed Canon/Filler,2007,8.1,432,s1 Kazekage Rescue,2007-05-10,2007,5,3499.2,2,0
14,14,Naruto's Growth,Mixed Canon/Filler,2007,8.3,452,s1 Kazekage Rescue,2007-05-17,2007,5,3751.6000000000004,2,0
15,15,The Secret Weapon is Called....,Mixed Canon/Filler,2007,8.4,447,s1 Kazekage Rescue,2007-05-24,2007,5,3754.8,2,0
16,16,The Secret of Jinchuriki,Mixed Canon/Filler,2007,7.6,403,s1 Kazekage Rescue,2007-05-31,2007,5,3062.7999999999997,2,0
17,17,The Death of Gaara!,Mixed Canon/Filler,2007,7.8,405,s1 Kazekage Rescue,2007-06-07,2007,6,3159.0,2,0
18,18,Charge Tactic! Button Hook Entry!!,Mixed Canon/Filler,2007,7.7,407,s1 Kazekage Rescue,2007-06-21,2007,6,3133.9,2,0
19,19,Traps Activate! Team Guy's Enemies,Mixed Canon/Filler,2007,7.8,399,s1 Kazekage Rescue,2007-07-05,2007,7,3112.2,2,0
20,20,Hiruko vs. Two Kunoichi!,Manga Canon,2007,8.1,427,s1 Kazekage Rescue,2007-07-19,2007,7,3458.7,1,0
21,21,Sasori's Real Face,Manga Canon,2007,8.1,421,s1 Kazekage Rescue,2007-07-26,2007,7,3410.1,1,0
22,22,Chiyo's Secret Skills,Manga Canon,2007,7.9,413,s1 Kazekage Rescue,2007-08-02,2007,8,3262.7000000000003,1,0
23,23,Father and Mother,Manga Canon,2007,7.9,410,s1 Kazekage Rescue,2007-08-02,2007,8,3239.0,1,0
24,24,The Third Kazekage,Mixed Canon/Filler,2007,8.1,418,s1 Kazekage Rescue,2007-08-09,2007,8,3385.7999999999997,2,0
25,25,Three Minutes Between Life and Death,Mixed Canon/Filler,2007,7.9,414,s1 Kazekage Rescue,2007-08-16,2007,8,3270.6000000000004,2,0
26,26,Puppet Fight: 10 vs. 100!,Manga Canon,2007,8.4,656,s1 Kazekage Rescue,2007-08-23,2007,8,5510.400000000001,1,0
27,27,Impossible Dream,Manga Canon,2007,8.5,474,s1 Kazekage Rescue,2007-08-30,2007,8,4029.0,1,0
28,28,Beasts! Alive Again!,Filler,2007,7.1,367,s1 Kazekage Rescue,2007-09-13,2007,9,2605.7,0,0
29,29,Kakashi Enlightened!,Manga Canon,2007,8.1,402,s1 Kazekage Rescue,2007-09-27,2007,9,3256.2,1,0
30,30,Aesthetics of an Instant,Manga Canon,2007,8.4,439,s1 Kazekage Rescue,2007-09-27,2007,9,3687.6000000000004,1,0
31,31,The Legacy!,Manga Canon,2007,8.5,675,s1 Kazekage Rescue,2007-10-18,2007,10,5737.5,1,0
32,32,Return of the Kazekage,Manga Canon,2007,7.9,405,s1 Kazekage Rescue,2007-10-25,2007,10,3199.5,1,0
33,33,The New Target,Manga Canon,2007,7.7,374,s2 Long-Awaited Reunion,2007-11-08,2007,11,2879.8,1,11
34,34,Formation! New Team Kakashi!,Manga Canon,2007,7.2,362,s2 Long-Awaited Reunion,2007-11-15,2007,11,2606.4,1,11
35,35,An Unnecessary Addition,Manga Canon,2007,7.3,364,s2 Long-Awaited Reunion,2007-11-22,2007,11,2657.2,1,11
36,36,The Fake Smile,Manga Canon,2007,7.2,362,s2 Long-Awaited Reunion,2007-11-29,2007,11,2606.4,1,11
37,37,Untitled,Manga Canon,2007,7.1,361,s2 Long-Awaited Reunion,2007-11-29,2007,11,2563.1,1,11
38,38,Simulation,Manga Canon,2007,7.1,360,s2 Long-Awaited Reunion,2007-12-06,2007,12,2556.0,1,11
39,39,The Tenchi Bridge,Manga Canon,2007,7.8,379,s2 Long-Awaited Reunion,2007-12-13,2007,12,2956.2,1,11
40,40,Nine-Tails Unleashed,Manga Canon,2007,7.7,393,s2 Long-Awaited Reunion,2007-12-20,2007,12,3026.1,1,11
41,41,The Top-Secret Mission Begins,Manga Canon,2007,8.0,395,s2 Long-Awaited Reunion,2007-12-20,2007,12,3160.0,1,11
42,42,Orochimaru vs. Jinchuriki,Manga Canon,2008,8.5,459,s2 Long-Awaited Reunion,2008-01-10,2008,1,3901.5,1,11
43,43,Sakura's Tears,Manga Canon,2008,7.9,380,s2 Long-Awaited Reunion,2008-01-17,2008,1,3002.0,1,11
44,44,The Secret of the Battle!,Manga Canon,2008,7.4,354,s2 Long-Awaited Reunion,2008-01-24,2008,1,2619.6,1,11
45,45,The Consequences of Betrayal,Mixed Canon/Filler,2008,7.3,346,s2 Long-Awaited Reunion,2008-01-31,2008,1,2525.7999999999997,2,11
46,46,The Unfinished Page,Manga Canon,2008,7.3,347,s2 Long-Awaited Reunion,2008-02-07,2008,2,2533.1,1,11
47,47,Infiltration: The Den of the Snake!,Manga Canon,2008,7.4,348,s2 Long-Awaited Reunion,2008-02-14,2008,2,2575.2000000000003,1,11
48,48,Bonds,Manga Canon,2008,7.2,355,s2 Long-Awaited Reunion,2008-02-28,2008,2,2556.0,1,11
49,49,Something Important...,Mixed Canon/Filler,2008,7.5,360,s2 Long-Awaited Reunion,2008-03-06,2008,3,2700.0,2,11
50,50,The Picture Book's Story,Mixed Canon/Filler,2008,7.3,345,s2 Long-Awaited Reunion,2008-03-13,2008,3,2518.5,2,11
51,51,Reunion,Manga Canon,2008,7.5,358,s2 Long-Awaited Reunion,2008-03-20,2008,3,2685.0,1,11
52,52,The Power of the Uchiha,Manga Canon,2008,8.0,384,s2 Long-Awaited Reunion,2008-03-20,2008,3,3072.0,1,11
53,53,Title,Manga Canon,2008,7.5,364,s2 Long-Awaited Reunion,2008-04-03,2008,4,2730.0,1,11
54,54,Nightmare,Mixed Canon/Filler,2008,7.5,362,s3 Twelve Guardian Ninja,2008-04-03,2008,4,2715.0,2,14
55,55,Wind,Manga Canon,2008,7.9,363,s3 Twelve Guardian Ninja,2008-04-17,2008,4,2867.7000000000003,1,14
56,56,Squirming,Mixed Canon/Filler,2008,7.6,346,s3 Twelve Guardian Ninja,2008-04-24,2008,4,2629.6,2,14
57,57,Robbed of Sleep,Filler,2008,6.9,269,s3 Twelve Guardian Ninja,2008-05-08,2008,5,1856.1000000000001,0,14
58,58,Loneliness,Filler,2008,6.6,267,s3 Twelve Guardian Ninja,2008-05-08,2008,5,1762.1999999999998,0,14
59,59,A New Enemy,Filler,2008,6.5,262,s3 Twelve Guardian Ninja,2008-05-15,2008,5,1703.0,0,14
60,60,Impermanence,Filler,2008,6.7,256,s3 Twelve Guardian Ninja,2008-05-22,2008,5,1715.2,0,14
61,61,Contact,Filler,2008,6.7,259,s3 Twelve Guardian Ninja,2008-05-29,2008,5,1735.3,0,14
62,62,Teammate,Filler,2008,6.5,256,s3 Twelve Guardian Ninja,2008-06-05,2008,6,1664.0,0,14
63,63,The Two Kings,Filler,2008,6.6,253,s3 Twelve Guardian Ninja,2008-06-19,2008,6,1669.8,0,14
64,64,The Jet-Black Signal Fire,Filler,2008,6.6,250,s3 Twelve Guardian Ninja,2008-07-03,2008,7,1650.0,0,14
65,65,Lockdown of Darkness,Filler,2008,6.9,249,s3 Twelve Guardian Ninja,2008-07-03,2008,7,1718.1000000000001,0,14
66,66,Revived Souls,Filler,2008,6.7,250,s3 Twelve Guardian Ninja,2008-07-10,2008,7,1675.0,0,14
67,67,Everyone's Struggle to the Death,Filler,2008,6.8,247,s3 Twelve Guardian Ninja,2008-07-24,2008,7,1679.6,0,14
68,68,Moment of Awakening,Filler,2008,6.7,247,s3 Twelve Guardian Ninja,2008-07-31,2008,7,1654.9,0,14
69,69,Despair,Filler,2008,6.6,251,s3 Twelve Guardian Ninja,2008-07-31,2008,7,1656.6,0,14
70,70,Resonance,Filler,2008,6.6,253,s3 Twelve Guardian Ninja,2008-08-07,2008,8,1669.8,0,14
71,71,My Friend,Filler,2008,6.6,265,s3 Twelve Guardian Ninja,2008-08-14,2008,8,1749.0,0,14
72,72,The Quietly Approaching Threat,Manga Canon,2008,7.3,335,s4 Immortal Devastators,2008-08-21,2008,8,2445.5,1,15
73,73,Akatsuki's Invasion,Manga Canon,2008,7.7,360,s4 Immortal Devastators,2008-08-28,2008,8,2772.0,1,15
74,74,Under the Starry Sky,Manga Canon,2008,7.5,340,s4 Immortal Devastators,2008-09-04,2008,9,2550.0,1,15
75,75,The Old Monk's Prayer,Manga Canon,2008,7.4,334,s4 Immortal Devastators,2008-09-11,2008,9,2471.6,1,15
76,76,The Next Step,Manga Canon,2008,7.7,348,s4 Immortal Devastators,2008-09-25,2008,9,2679.6,1,15
77,77,Climbing Silver,Manga Canon,2008,8.3,382,s4 Immortal Devastators,2008-09-25,2008,9,3170.6000000000004,1,15
78,78,The Judgment,Manga Canon,2008,8.6,501,s4 Immortal Devastators,2008-10-02,2008,10,4308.599999999999,1,15
79,79,Unfulfilled Scream,Manga Canon,2008,8.6,482,s4 Immortal Devastators,2008-10-02,2008,10,4145.2,1,15
80,80,Last Words,Manga Canon,2008,8.5,634,s4 Immortal Devastators,2008-10-16,2008,10,5389.0,1,15
81,81,Sad News,Manga Canon,2008,8.1,372,s4 Immortal Devastators,2008-10-23,2008,10,3013.2,1,15
82,82,Team Ten,Manga Canon,2008,8.6,569,s4 Immortal Devastators,2008-10-30,2008,10,4893.4,1,15
83,83,Target: Locked On,Manga Canon,2008,8.3,377,s4 Immortal Devastators,2008-11-06,2008,11,3129.1000000000004,1,15
84,84,Kakuzu's Abilities,Manga Canon,2008,8.5,427,s4 Immortal Devastators,2008-11-13,2008,11,3629.5,1,15
85,85,Terrifying Secret,Manga Canon,2008,8.4,518,s4 Immortal Devastators,2008-11-20,2008,11,4351.2,1,15
86,86,Shikamaru's Genius,Manga Canon,2008,8.4,589,s4 Immortal Devastators,2008-12-04,2008,12,4947.6,1,15
87,87,"When You Curse Someone, You Dig Your Own Grave",Manga Canon,2008,8.6,730,s4 Immortal Devastators,2008-12-04,2008,12,6278.0,1,15
88,88,Wind Style: Rasen Shuriken!,Manga Canon,2008,8.4,617,s4 Immortal Devastators,2008-12-11,2008,12,5182.8,1,15
89,89,The Price of Power,Mixed Canon/Filler,2008,7.7,344,s5 The Three-Tailed Demon Turtle,2008-12-18,2008,12,2648.8,2,16
